ticker,date,avg_sentiment,tweet_volume,has_sentiment
AAPL,2020-01-01,0.0,1,1
AAPL,2020-01-02,0.341875,8,1
AAPL,2020-01-03,0.008516666666666667,6,1
AAPL,2020-01-06,0.7793,2,1
AAPL,2020-01-07,0.022933333333333344,3,1
AAPL,2020-01-08,-0.09718333333333334,6,1
AAPL,2020-01-09,0.1531,4,1
AAPL,2020-01-10,0.44344999999999996,4,1
AAPL,2020-01-11,0.0,1,1
AAPL,2020-01-12,0.21075,2,1
AAPL,2020-01-13,0.023675,4,1
AAPL,2020-01-14,0.49735,4,1
AAPL,2020-01-15,0.27135714285714285,7,1
AAPL,2020-01-16,-0.11315,2,1
AAPL,2020-01-17,0.21216666666666664,3,1
AAPL,2020-01-19,-0.13035,2,1
AAPL,2020-01-21,0.0,1,1
AAPL,2020-01-23,0.08333333333333333,3,1
AAPL,2020-01-24,0.0,1,1
AAPL,2020-01-25,0.4588,1,1
AAPL,2020-01-27,0.11158000000000001,5,1
AAPL,2020-01-28,0.2123230769230769,13,1
AAPL,2020-01-29,0.25394285714285714,7,1
AAPL,2020-01-30,-0.33525,2,1
AAPL,2020-01-31,0.31788333333333335,6,1
AAPL,2020-02-01,0.26113333333333333,3,1
AAPL,2020-02-02,-0.04254999999999998,2,1
AAPL,2020-02-03,0.11373333333333334,3,1
AAPL,2020-02-04,0.0,1,1
AAPL,2020-02-05,0.4164,2,1
AAPL,2020-02-06,-0.07244999999999999,2,1
AAPL,2020-02-07,0.08086666666666666,3,1
AAPL,2020-02-08,0.3365,1,1
AAPL,2020-02-09,-0.511,2,1
AAPL,2020-02-10,-0.2986,3,1
AAPL,2020-02-11,-0.5374,1,1
AAPL,2020-02-12,0.3878,3,1
AAPL,2020-02-14,-0.14405,2,1
AAPL,2020-02-17,-0.2455,4,1
AAPL,2020-02-18,-0.1950285714285714,7,1
AAPL,2020-02-19,0.4726666666666666,3,1
AAPL,2020-02-20,0.34303333333333336,3,1
AAPL,2020-02-21,0.016300000000000005,7,1
AAPL,2020-02-23,0.296,1,1
AAPL,2020-02-24,-0.16380000000000003,6,1
AAPL,2020-02-25,-0.021800000000000003,6,1
AAPL,2020-02-26,-0.01873333333333334,6,1
AAPL,2020-02-27,0.34,1,1
AAPL,2020-02-28,0.1227,7,1
AAPL,2020-02-29,-0.1812,1,1
AAPL,2020-03-01,0.4404,1,1
AAPL,2020-03-02,0.2454185185185185,27,1
AAPL,2020-03-03,0.08005000000000001,12,1
AAPL,2020-03-04,0.1693,8,1
AAPL,2020-03-05,0.03221111111111111,9,1
AAPL,2020-03-06,0.15052857142857143,7,1
AAPL,2020-03-07,0.0,1,1
AAPL,2020-03-08,-0.6486,1,1
AAPL,2020-03-09,0.15029999999999996,7,1
AAPL,2020-03-10,-0.09330000000000001,7,1
AAPL,2020-03-11,0.006240000000000001,5,1
AAPL,2020-03-12,0.1267,7,1
AAPL,2020-03-13,-0.10738571428571429,7,1
AAPL,2020-03-14,0.07543333333333334,3,1
AAPL,2020-03-15,0.022266666666666674,3,1
AAPL,2020-03-16,-0.12341428571428571,14,1
AAPL,2020-03-17,0.1524,10,1
AAPL,2020-03-18,0.20932222222222224,9,1
AAPL,2020-03-19,0.14258,5,1
AAPL,2020-03-20,-0.10206,5,1
AAPL,2020-03-21,-0.20095,2,1
AAPL,2020-03-22,-0.17020000000000002,3,1
AAPL,2020-03-23,0.199325,4,1
AAPL,2020-03-24,0.24324999999999997,6,1
AAPL,2020-03-25,0.185475,4,1
AAPL,2020-03-26,0.1653875,8,1
AAPL,2020-03-27,-0.15515,6,1
AAPL,2020-03-28,0.3818,1,1
AAPL,2020-03-29,-0.1413333333333333,3,1
AAPL,2020-03-30,-0.005916666666666672,6,1
